candidate_id,candidate_ra_deg,candidate_dec_deg,obs_collection,obsid,obs_id,instrument_name,filters,filter_norm,t_min,t_max,t_exptime,proposal_id,target_name,calib_level,dataRights,distance
490940,150.206545630103,2.38924670272441,JWST,266463418,jw07814003020_xx10a_00001_miri,MIRI/IMAGE,F1500W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,1.0774561934001885
490940,150.206545630103,2.38924670272441,JWST,250361121,jw07814003020_xx102_00002_miri,MIRI/IMAGE,F1280W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,2.7649979502627424
490940,150.206545630103,2.38924670272441,JWST,266463410,jw07814003020_xx105_00002_miri,MIRI/IMAGE,F1280W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,2.7649979502627424
490940,150.206545630103,2.38924670272441,JWST,250361127,jw07814003020_xx108_00002_miri,MIRI/IMAGE,F1500W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,2.7649979502627424
490940,150.206545630103,2.38924670272441,JWST,266463420,jw07814003020_xx10b_00002_miri,MIRI/IMAGE,F1500W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,2.7649979502627424
490940,150.206545630103,2.38924670272441,HST,26443973,hst_12440_39_acs_wfc_f606w_jboa39,ACS/WFC,F606W,F606W,55903.67877595,55903.68793178,632.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26443952,hst_12440_39_acs_wfc_f814w_jboa39,ACS/WFC,F814W,F814W,55903.69038484,55903.70891549,1248.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26443989,hst_12440_39_acs_wfc_total_jboa39,ACS/WFC,detection,,55903.67877595,55903.70891549,1880.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26445179,hst_12440_43_acs_wfc_f606w_jboa43,ACS/WFC,F606W,F606W,55902.68721373,55902.69636919,632.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26445196,hst_12440_43_acs_wfc_f814w_jboa43,ACS/WFC,F814W,F814W,55902.69882224,55902.74921623,1248.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26445217,hst_12440_43_acs_wfc_total_jboa43,ACS/WFC,detection,,55902.68721373,55902.74921623,1880.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26445375,hst_12440_83_acs_wfc_f814w_jboa83,ACS/WFC,F814W,F814W,55951.05716863,55951.07569891,1248.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26445422,hst_12440_83_acs_wfc_total_jboa83,ACS/WFC,detection,,55951.04555974,55951.07569891,1880.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26443919,hst_12440_87_acs_wfc_f606w_jboa87,ACS/WFC,F606W,F606W,55950.51734197,55950.5264978,632.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26443930,hst_12440_87_acs_wfc_f814w_jboa87,ACS/WFC,F814W,F814W,55950.52895085,55950.58162484,1248.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,26443953,hst_12440_87_acs_wfc_total_jboa87,ACS/WFC,detection,,55950.51734197,55950.58162484,1880.0,12440,ANY,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,HST,232958435,hst_14114_13_wfc3_ir_f160w_icxe13,WFC3/IR,F160W,F160W,57851.47224981,57851.50440204,2073.5005499999997,14114,COSMOS-T13,3,PUBLIC,0.0
