candidate_id,ra_deg,dec_deg,pm_status,classification,reason,n_independent_pairs,evidence_grade,pair_id,filter_early,filter_late,mu_alpha_cosdec_masyr,mu_delta_masyr,sigma_mu_alpha_cosdec_masyr,sigma_mu_delta_masyr,significance_2d,n_measured_pairs,n_distinct_epochs_cached
711005,150.087075271185,2.07425379127274,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,28,,,,,,,,,,0.0,11.0
777681,150.283616174201,2.09515972263805,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
816665,150.282300060369,2.10787790702535,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
914378,150.322746660998,2.13647046332409,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,40,,,,,,,,,,0.0,11.0
920430,150.002706327301,2.13817868526421,PM_MEASURED,AMBIGUOUS,,12,B_CROSS_FILTER_JWST,F444W_epoch_000__F356W_epoch_000,F444W,F356W,-53.45053109976525,124.30872004389737,24.504383018297176,67.26889572763638,2.8588085591847534,1.0,7.0
1036583,149.960874627361,2.1683606483834,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
1038406,149.91956239456,2.16888484452086,PM_MEASURED,CONSISTENT_WITH_ZERO,,16,B_CROSS_FILTER_JWST,F444W_epoch_000__F356W_epoch_000,F444W,F356W,9.583987735162404,-12.456640739933798,7.125768391767715,9.493635977197108,1.8789833094612405,1.0,8.0
1108588,149.929162284795,2.18414272794439,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,24,,,,,,,,,,0.0,10.0
1142350,149.915826839708,2.19086389191468,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
1231018,149.860299446078,2.20739139582988,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
1247563,149.990956017915,2.21040592047245,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
1251470,150.268332338518,2.21101330200398,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
1312621,149.957067518051,2.22174615234122,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
1421504,149.923881832584,2.23987336116454,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,20,,,,,,,,,,0.0,9.0
1584459,149.791769295266,2.26620299700506,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
1645882,150.480529577253,2.27583323048601,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
1651050,150.307303724545,2.27642841317716,PM_MEASURED,MOVING,,12,B_CROSS_FILTER_JWST,F444W_epoch_000__F356W_epoch_000,F444W,F356W,-55.23029637296514,16.408211773518612,11.533591801843771,9.998219722317502,5.062053956533986,1.0,7.0
1793642,149.850010986585,2.29798942476609,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
1910402,150.003821549491,2.31572512761846,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
2031339,149.913921619231,2.33288280901091,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,24,,,,,,,,,,0.0,10.0
2150648,150.022440564701,2.34963175214426,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
2704216,149.89449521303,2.43892170508623,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
2708503,150.479744035378,2.43965825966239,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
2836975,150.25672325502,2.463106044747,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
2884404,150.211186939527,2.47360243674249,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,8,,,,,,,,,,0.0,6.0
2970636,150.075709314254,2.49460218557437,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
3010555,150.415905952497,2.50648124377998,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,8,,,,,,,,,,0.0,6.0
3278834,149.93736476424,2.67536099009395,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
