obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
233116166,JWST,image,jw02321004002_02101_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00002_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116168,JWST,image,jw02321004002_02101_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00003_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116176,JWST,image,jw02321004002_02101_00004_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00004_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00004_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116185,JWST,image,jw02321004002_02101_00005_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00005_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00005_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116188,JWST,image,jw02321004001_02101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00001_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116193,JWST,image,jw02321004001_02101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00001_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116204,JWST,image,jw02321004001_02101_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00002_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116207,JWST,image,jw02321004001_02101_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00002_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116213,JWST,image,jw02321004001_02101_00003_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00003_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00003_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116214,JWST,image,jw02321004001_02101_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00003_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116218,JWST,image,jw02321004001_02101_00004_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00004_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00004_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116222,JWST,image,jw02321004001_02101_00004_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00004_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00004_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116502,JWST,image,jw02321004001_02101_00006_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00006_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00006_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116510,JWST,image,jw02321004001_02101_00005_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00005_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00005_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116514,JWST,image,jw02321004001_02101_00006_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00006_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00006_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116520,JWST,image,jw02321004001_02101_00005_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004001_02101_00005_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004001_02101_00005_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
