obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
140187402,JWST,image,jw02321003003_02101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00001_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187410,JWST,image,jw02321003003_02101_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00002_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187448,JWST,image,jw02321003003_02101_00004_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00004_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00004_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187459,JWST,image,jw02321003003_02101_00005_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00005_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00005_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187464,JWST,image,jw02321003003_02101_00006_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00006_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00006_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187465,JWST,image,jw02321003003_02101_00005_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00005_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00005_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187473,JWST,image,jw02321003003_02101_00003_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00003_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00003_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187480,JWST,image,jw02321003003_02101_00004_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00004_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00004_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187482,JWST,image,jw02321003003_02101_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00003_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187483,JWST,image,jw02321003003_02101_00006_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003003_02101_00006_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003003_02101_00006_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187499,JWST,image,jw02321003004_02101_00006_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00006_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00006_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187501,JWST,image,jw02321003004_02101_00004_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00004_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00004_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187502,JWST,image,jw02321003004_02101_00005_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00005_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00005_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187503,JWST,image,jw02321003004_02101_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00002_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187505,JWST,image,jw02321003004_02101_00004_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00004_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00004_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187520,JWST,image,jw02321003004_02101_00006_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00006_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00006_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187521,JWST,image,jw02321003004_02101_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00003_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187530,JWST,image,jw02321003004_02101_00005_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00005_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00005_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187536,JWST,image,jw02321003004_02101_00003_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00003_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00003_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187540,JWST,image,jw02321003004_02101_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00002_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187542,JWST,image,jw02321003004_02101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00001_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187550,JWST,image,jw02321003004_02101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003004_02101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003004_02101_00001_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
